shift,intensity
1.000000000000000000e+03,-8.127087813006805828e-03
1.000500250125062507e+03,-1.574837851932230776e-02
1.001000500250125015e+03,-2.450930348919443114e-02
1.001500750375187636e+03,3.595801343723471159e-03
1.002001000500250143e+03,2.652440341410211219e-02
1.002501250625312650e+03,-9.778379441526664426e-03
1.003001500750375158e+03,2.343087510029081676e-03
1.003501750875437665e+03,-9.477366082821916948e-03
1.004002001000500286e+03,-1.182260733787646179e-03
1.004502251125562793e+03,-1.087807620142013793e-02
1.005002501250625301e+03,8.809171359456484732e-03
1.005502751375687808e+03,3.257136863430540926e-03
1.006003001500750429e+03,-2.532586393566139613e-03
1.006503251625812936e+03,-4.391068599444098233e-03
1.007003501750875444e+03,6.890099869938129352e-04
1.007503751875937951e+03,2.233292378816319895e-02
1.008004002001000458e+03,5.350473773941863409e-02
1.008504252126063079e+03,3.128400530970091176e-03
1.009004502251125587e+03,-9.380103441806442871e-03
1.009504752376188094e+03,-3.905670659528420741e-02
1.010005002501250601e+03,-1.741678677483711815e-02
1.010505252626313109e+03,-1.507482143247328849e-02
1.011005502751375730e+03,1.650538639023397570e-03
1.011505752876438237e+03,-2.380455860416168246e-02
1.012006003001500744e+03,1.143563977386343605e-02
1.012506253126563251e+03,-6.925684524140829357e-03
1.013006503251625759e+03,-7.146417609175411030e-03
1.013506753376688380e+03,-2.309448311649552055e-02
1.014007003501750887e+03,1.138853003767535330e-02
1.014507253626813394e+03,9.195641041482278608e-03
1.015007503751875902e+03,6.938503860017520251e-03
1.015507753876938523e+03,-2.831289224910356686e-03
1.016008004002001030e+03,-1.291760999049520672e-02
1.016508254127063537e+03,-5.368891462939388848e-03
1.017008504252126045e+03,-3.909826742164192181e-02
1.017508754377188552e+03,1.149091924605912321e-02
1.018009004502251173e+03,8.684401566685394152e-04
1.018509254627313680e+03,1.872035145264461589e-02
1.019009504752376188e+03,-9.832378298369453401e-04
1.019509754877438695e+03,2.746786420563215175e-02
1.020010005002501202e+03,-1.459562825413567369e-02
1.020510255127563823e+03,1.068819818454528302e-02
1.021010505252626331e+03,2.586521093381516367e-02
1.021510755377688838e+03,3.838310366554836990e-03
1.022011005502751345e+03,-5.228262974835501398e-03
1.022511255627813853e+03,-4.813011506143657914e-02
1.023011505752876474e+03,-2.285241046707721380e-02
1.023511755877938981e+03,-2.743664555714864228e-02
1.024012006003001488e+03,6.459559130633194500e-03
1.024512256128064109e+03,-6.055688980035851994e-03
1.025012506253126503e+03,-1.523849843479890137e-02
1.025512756378189124e+03,-1.924692901773004255e-02
1.026013006503251518e+03,-2.786675134588119732e-02
1.026513256628314139e+03,-1.058468395202545077e-02
1.027013506753376760e+03,-7.638030642149807637e-05
1.027513756878439153e+03,-1.574263327014788216e-02
1.028014007003501774e+03,5.354849185453295496e-02
1.028514257128564395e+03,-3.105176474199179779e-04
1.029014507253626789e+03,9.793750347336515824e-03
1.029514757378689410e+03,3.867836378400796304e-02
1.030015007503751804e+03,-7.866876644766675891e-03
1.030515257628814425e+03,-6.799198279172858662e-03
1.031015507753877046e+03,-9.930199725757737558e-03
1.031515757878939439e+03,-2.132506443218124253e-03
1.032016008004002060e+03,2.571984823260435767e-03
1.032516258129064454e+03,2.154309980873533870e-02
1.033016508254127075e+03,7.354451171347434636e-04
1.033516758379189696e+03,4.728286471655919997e-03
1.034017008504252090e+03,-6.427547181679094980e-03
1.034517258629314711e+03,-6.448210745081205293e-03
1.035017508754377104e+03,2.814540618566447119e-02
1.035517758879439725e+03,1.738372499228023902e-03
1.036018009004502346e+03,1.435472323655538097e-02
1.036518259129564740e+03,-3.061612091392635834e-02
1.037018509254627361e+03,-3.067576872630256926e-02
1.037518759379689754e+03,-3.118391371130616128e-03
1.038019009504752376e+03,1.952851299788386846e-03
1.038519259629814997e+03,-1.922876774875870165e-02
1.039019509754877390e+03,-8.916959849792125900e-03
1.039519759879940011e+03,1.776281048879217381e-02
1.040020010005002405e+03,2.838510511397538544e-02
1.040520260130065026e+03,-2.117878868074931850e-02
1.041020510255127647e+03,1.706576954371171254e-02
1.041520760380190040e+03,7.867113061012686454e-03
1.042021010505252661e+03,1.594112737794266613e-02
1.042521260630315055e+03,1.181771197640353425e-02
1.043021510755377676e+03,-8.449449839592613684e-03
1.043521760880440297e+03,-1.216542764753357139e-02
1.044022011005502691e+03,-6.846113266166460425e-03
1.044522261130565312e+03,8.800592164255018751e-03
1.045022511255627705e+03,-1.400993938069534407e-02
1.045522761380690326e+03,-1.760538685243539028e-02
1.046023011505752947e+03,2.084884067084397802e-02
1.046523261630815341e+03,-2.353684481233898895e-02
1.047023511755877962e+03,1.880274301462358730e-02
1.047523761880940583e+03,6.580008962870075029e-02
1.048024012006002977e+03,2.276842478261779934e-02
1.048524262131065598e+03,-2.800009642387600584e-02
1.049024512256127991e+03,-1.294270475831746370e-02
1.049524762381190612e+03,-2.346708508949295335e-02
1.050025012506253233e+03,-3.381943360209300337e-02
1.050525262631315627e+03,3.714208632000298022e-02
1.051025512756378248e+03,-1.336497195914918001e-02
1.051525762881440642e+03,-3.027857336805255678e-02
1.052026013006503263e+03,2.825342145692417636e-02
1.052526263131565884e+03,-8.142836643152826653e-03
1.053026513256628277e+03,2.426861927995167117e-02
1.053526763381690898e+03,7.206446378448656993e-03
1.054027013506753292e+03,-5.318274622617997528e-03
1.054527263631815913e+03,1.221403567960510639e-02
1.055027513756878534e+03,3.083530389285196738e-02
1.055527763881940928e+03,-2.144524485307700359e-02
1.056028014007003549e+03,5.130884150705662845e-03
1.056528264132065942e+03,-1.738278799788343237e-02
1.057028514257128563e+03,1.184199690614922708e-04
1.057528764382191184e+03,3.890385659913862121e-02
1.058029014507253578e+03,5.827285523976650367e-02
1.058529264632316199e+03,4.598499249780747984e-03
1.059029514757378593e+03,-1.619351947955788990e-02
1.059529764882441214e+03,-1.634822056211274535e-02
1.060030015007503835e+03,1.156658269507739902e-02
1.060530265132566228e+03,-2.371416463843908570e-02
1.061030515257628849e+03,2.830624259898369480e-02
1.061530765382691243e+03,2.534369279540650208e-02
1.062031015507753864e+03,2.996294088684500409e-02
1.062531265632816485e+03,1.546365202445082465e-02
1.063031515757878879e+03,1.094076633719104526e-02
1.063531765882941500e+03,-1.592385221746722007e-02
1.064032016008004121e+03,-3.035381952886986867e-02
1.064532266133066514e+03,2.520629937964918160e-02
1.065032516258129135e+03,1.006892695381564860e-02
1.065532766383191529e+03,9.672953572794466132e-03
1.066033016508254150e+03,1.496681305407358657e-02
1.066533266633316543e+03,8.509778872539482467e-03
1.067033516758379164e+03,-1.495031493111084265e-03
1.067533766883441785e+03,3.856018511952676725e-02
1.068034017008504179e+03,1.222230038426764219e-02
1.068534267133566800e+03,-1.622733796952378557e-02
1.069034517258629421e+03,-1.389009275882934283e-02
1.069534767383691815e+03,-2.085723681073900146e-02
1.070035017508754436e+03,4.307950040235358942e-03
1.070535267633816829e+03,-2.123388119687993902e-02
1.071035517758879450e+03,-2.216967705865405952e-02
1.071535767883942071e+03,-1.284277207216837600e-02
1.072036018009004465e+03,-2.898485894114219072e-02
1.072536268134067086e+03,7.556767610693559132e-04
